May This Moment Be Made to Last	Take a commemorative photo with Yun Jin.	Complete Commemorative Photo.	Yes	2.4	5
A Strict Master Trains a Talented Pupil	Complete the practice session without hitting a single blue scarecrow.	Complete Meticulous Performance without hitting a single blue scarecrow.	Yes	2.4	5
Arataki Gang Chief Advisor	Complete "The Gang's Daily Deeds" and unlock all endings.		No	2.7	20
One More Look!	Gaze upon the glory that is Kuki Shinobu in a shrine maiden outfit.	Complete The Day's Wages.	Yes	2.7	5
"Upstairs..."	Be dissuaded before alerting Kujou Sara and Kuki Shinobu.	Attempt to walk in the room at the second floor of Uyuu Restaurant after listening to Kujou Sara, Kuki Shinobu and Norika's conversation in Eavesdroppers.	Yes	2.7	5
You Thought We Were For Real, Eh?	Complete "Trap 'Em by Storm" and unlock all endings.		No	2.8	20
An Ideal Detective Am I	Correctly analyze the motives and the truth behind the crime the first time.	Answer every question without guessing incorrectly during Long-Sealed Mystery.	Yes	2.8	5
Sangonomiya Supplications	Ask Gorou whether Kokomi knows about the happenings on Watatsumi Island.	Talk to Gorou after questioning Todoroki at the end of The Missing Thing #Confrontation in Shikanoin Heizou's Hangout Event: Act I - Trap 'Em by Storm.	Yes	2.8	5
Optimal Solution	Complete "A Confounding Conundrum" and unlock all endings.		No	3.5	20
To You in a Hundred Years	Read all the letters sent to Faruzan.	Read the three letters on the ground during Wanderings of a Lonesome Shadow — Thoughts That Wandered For a Century.	Yes	3.5	5
Mechanics: From Beginner to...?	Guess correctly the smallest number of moves it will take to solve a seven-layer Pagoda Stack.		Yes	3.5	5
The Name Is Layla	Complete "Ever Silent Stars" and unlock all endings.		No	3.6	20
She's Already Tense	Help Layla finish her thesis without causing her further anxiety.	Complete Thesis Defense Practice with the lowest Layla's anxiety level possible.	Yes	3.6	5
Secret of Seelie and the Star-Lit Sky	Obtain the authentic letter of the Wisdom Seelie.	Obtain the "The Price to Pay and Its Returns" ending in One Final Step in Layla's Hangout Event: Act I - Ever Silent Stars.	Yes	3.6	5
Art and Life	Complete "The Pendulum of Weal and Woe" and unlock all endings.		No	3.7	20
School Days	Find the annotated books in the House of Daena.	Read all three books in the House of Daena before following Kaveh to Port Ormos during The First Ideal — The Temple of Wisdom.	Yes	3.7	5
An Architect's Romanticism	Chat about the future with Kaveh in the desert.	Complete The First Ideal.	No	3.7	5
Make Merry	Complete "Shenanigans and Sweet Wine" and unlock all endings.		No	3.8	20
Lucky Coin	Participate in the wager set up by Kaeya.	Complete Feathers Adrift in a Spring Breeze.	Yes	3.8	5
Shh... Listen!	Listen to the voice coming from the confinement room.	Interact with the Voice Behind the Door from the left inner-most door in the Knights of Favonius Headquarters during An Ordinary Day for the Knights of Favonius in An Ordinary Day for the Knights of Favonius.	Yes	3.8	5
Indicators of Fate	Complete "Checks & Cats" and unlock all endings.		No	4.5	20
Speedrun	Persuade Lynette to spend a leisurely, peaceful day with you.	Obtain the "Standby Mode" ending in A Decision in Lynette's Hangout Event: Act I - Checks & Cats.	Yes	4.5	5
Decks & Detectives	Have a peaceful tea party with Lynette after solving the smuggling case.	Obtain the "Adventurers, Investigators, and Cats" ending in Closure in Lynette's Hangout Event: Act I - Checks & Cats.	Yes	4.5	5
